brand,make,price,km,gearbox,doors,imported,kW,cm3,fuel,registered,color,aircon,damage,car_type,standard,drive,age,country
Opel,Insignia,9950,164162,M,4/5,0,103,1956.0,diesel,0,GR,4,0,SW,5,F,5,German
MINI,Cooper,5899,175870,M,4/5,1,79,1560.0,diesel,0,BL,3,0,HB,3,F,10,German
Renault,Scenic,1500,343000,M,4/5,0,75,1900.0,diesel,0,GR,2,0,VAN,3,F,19,French
Mercedes,E klasa,11499,259795,A,4/5,1,149,2143.0,diesel,1,GR,3,0,SW,5,F,9,German
Ford,Mondeo,12990,115000,M,4/5,1,132,1997.0,diesel,1,VAR,0,0,SW,3,F,5,USA
VW,Golf 4,1950,225000,M,4/5,0,85,1896.0,diesel,1,GR,2,0,HB,3,F,20,German
Citroen,Xsara Picasso,1200,390000,M,4/5,0,86,1794.0,LPG,1,VAR,4,0,VAN,3,F,19,French
VW,Touran,11990,177000,A,4/5,1,81,1598.0,diesel,0,GR,3,0,VAN,4,F,4,German
VW,Passat,15650,105520,A,4/5,0,88,1598.0,diesel,0,BL,4,0,SDN,6,F,4,German
Audi,A4,15990,183000,A,4/5,1,110,1968.0,diesel,1,VAR,3,0,SW,4,F,4,German
Škoda,Octavia,13990,114500,M,4/5,1,110,1968.0,diesel,0,VAR,3,0,SW,5,F,4,EU
VW,Golf 7,15990,103300,A,4/5,1,135,1968.0,diesel,0,VAR,3,0,SW,5,F,5,German
Opel,Astra,3200,203617,M,4/5,0,59,1686.0,diesel,0,GR,2,0,HB,4,F,15,German
Audi,A2,2250,166186,M,4/5,0,55,1399.0,petrol,0,GR,4,0,HB,3,F,18,German
Škoda,Octavia,19990,45000,A,4/5,0,110,1968.0,diesel,0,BL,4,0,SDN,6,F,2,EU
Audi,A4,5350,180000,M,4/5,0,103,1986.0,diesel,0,BL,4,0,SDN,4,F,13,German
Renault,Kangoo,1990,194000,M,2/3,0,45,1500.0,diesel,1,VAR,2,0,PU,4,F,11,French
Volvo,V60,11690,146319,M,4/5,1,110,1984.0,diesel,1,GR,0,0,SW,5,F,5,Other
BMW,116,3650,176000,M,4/5,0,85,1596.0,petrol,1,VAR,2,0,HB,4,B,14,German
Fiat,Freemonte,8800,177436,M,4/5,1,124,1956.0,diesel,0,GR,0,0,SW,5,4x4,9,Italian
Citroen,C4,8650,123042,M,4/5,0,73,1560.0,diesel,0,WH,4,0,HB,6,F,4,French
VW,Passat,3790,210000,M,4/5,0,77,1868.0,diesel,0,VAR,2,0,SW,4,F,12,German
Volvo,S60,10390,146925,A,4/5,0,120,1984.0,diesel,0,BL,4,0,SDN,5,F,9,Other
Mercedes,C klasa,2999,245526,A,4/5,1,124,2687.0,diesel,1,GR,0,0,SW,5,F,17,German
Volvo,XC 70,14990,128895,A,4/5,1,120,2400.0,diesel,0,GR,0,0,SW,4,F,9,Other
VW,Golf 4,1899,320000,M,4/5,0,77,1600.0,LPG,1,GR,4,0,HB,3,F,19,German
Fiat,Bravo,3600,217000,M,4/5,0,77,1600.0,diesel,1,GR,2,0,HB,4,F,12,Italian
Peugeot,RCZ,10500,74000,M,4/5,1,146,1598.0,petrol,0,WH,3,0,CP,4,F,8,French
Audi,A6,9990,210000,A,4/5,1,140,2698.0,diesel,1,VAR,3,0,SW,5,F,10,German
Ford,Fiesta,7790,23089,M,4/5,0,60,1242.0,petrol,0,VAR,2,0,HB,6,F,4,USA
Renault,Scenic,4400,175000,M,4/5,1,81,1461.0,diesel,0,GR,3,0,VAN,5,F,8,French
VW,Passat,9300,186408,A,4/5,1,76,1598.0,diesel,0,GR,0,0,SW,5,F,7,German
Mercedes,GLK 220,23999,76270,A,4/5,1,124,2143.0,diesel,1,GR,0,0,SW,5,F,5,German
Alfa Romeo,147,1950,222321,M,4/5,0,85,1900.0,diesel,1,VAR,4,0,SDN,3,F,16,Italian
Peugeot,407,2600,226000,M,4/5,0,80,1600.0,diesel,1,VAR,4,0,SW,4,F,15,French
VW,Bora,2150,343000,M,4/5,0,74,1889.0,diesel,1,BL,2,0,SW,4,F,18,German
Fiat,Grande Punto,3100,195540,M,4/5,0,66,1300.0,diesel,0,GR,4,0,HB,4,F,12,Italian
VW,Golf 7,15990,110550,M,4/5,1,135,1968.0,diesel,0,BL,3,0,HB,5,F,5,German
Alfa Romeo,159,2950,183450,M,4/5,0,110,1910.0,diesel,0,GR,4,0,SDN,4,F,14,Italian
Jeep,Cherokee,5190,166000,M,4/5,1,120,2776.0,diesel,1,VAR,3,0,SW,5,4x4,14,Other
